C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,26/08/2022,12:55:25,369522107,,369522091,
D,CO2EII,PUBLISHING,1,2019,27,3/07/2019 0:00,SA1,36895.22259,15310.27242,0.415
D,CO2EII,PUBLISHING,1,2019,27,3/07/2019 0:00,TAS1,36447.19298,719.4270674,0.0197
D,CO2EII,PUBLISHING,1,2019,27,3/07/2019 0:00,VIC1,122082.5831,123301.7295,1.01
D,CO2EII,PUBLISHING,1,2019,27,4/07/2019 0:00,NEM,555461.6598,409623.9888,0.7374
D,CO2EII,PUBLISHING,1,2019,27,4/07/2019 0:00,NSW1,199531.9908,157471.8477,0.7892
D,CO2EII,PUBLISHING,1,2019,27,4/07/2019 0:00,QLD1,154987.013,121900.6942,0.7865
D,CO2EII,PUBLISHING,1,2019,27,4/07/2019 0:00,SA1,44254.00785,11689.99961,0.2642
D,CO2EII,PUBLISHING,1,2019,27,4/07/2019 0:00,TAS1,34281.12363,213.7046004,0.0062
D,CO2EII,PUBLISHING,1,2019,27,4/07/2019 0:00,VIC1,122407.5245,118347.7427,0.9668
D,CO2EII,PUBLISHING,1,2019,27,5/07/2019 0:00,NEM,548998.0399,399235.3657,0.7272
D,CO2EII,PUBLISHING,1,2019,27,5/07/2019 0:00,NSW1,194698.4931,149576.1848,0.7682
D,CO2EII,PUBLISHING,1,2019,27,5/07/2019 0:00,QLD1,157656.0595,123700.3183,0.7846
D,CO2EII,PUBLISHING,1,2019,27,5/07/2019 0:00,SA1,43930.38999,9616.484027,0.2189
D,CO2EII,PUBLISHING,1,2019,27,5/07/2019 0:00,TAS1,33414.5813,362.6547799,0.0109
D,CO2EII,PUBLISHING,1,2019,27,5/07/2019 0:00,VIC1,119298.5161,115979.7238,0.9722
D,CO2EII,PUBLISHING,1,2019,27,6/07/2019 0:00,NEM,504697.3323,365174.7962,0.7236
D,CO2EII,PUBLISHING,1,2019,27,6/07/2019 0:00,NSW1,171585.3999,134378.622,0.7832
D,CO2EII,PUBLISHING,1,2019,27,6/07/2019 0:00,QLD1,149176.0372,114927.013,0.7704
D,CO2EII,PUBLISHING,1,2019,27,6/07/2019 0:00,SA1,40537.48964,6086.188651,0.1501
D,CO2EII,PUBLISHING,1,2019,27,6/07/2019 0:00,TAS1,27962.30807,141.2655846,0.0051
D,CO2EII,PUBLISHING,1,2019,27,6/07/2019 0:00,VIC1,115436.0975,109641.707,0.9498
D,CO2EII,PUBLISHING,1,2019,28,7/07/2019 0:00,NEM,499387.6734,371835.8237,0.7446
D,CO2EII,PUBLISHING,1,2019,28,7/07/2019 0:00,NSW1,174649.1697,144842.4695,0.8293
D,CO2EII,PUBLISHING,1,2019,28,7/07/2019 0:00,QLD1,149673.7336,115420.5897,0.7711
D,CO2EII,PUBLISHING,1,2019,28,7/07/2019 0:00,SA1,31261.49261,10272.26318,0.3286
D,CO2EII,PUBLISHING,1,2019,28,7/07/2019 0:00,TAS1,33615.8452,163.464226,0.0049
D,CO2EII,PUBLISHING,1,2019,28,7/07/2019 0:00,VIC1,110187.4322,101137.0371,0.9179
D,CO2EII,PUBLISHING,1,2019,28,8/07/2019 0:00,NEM,541664.8618,406120.3195,0.7498
